Star_name, Distance, Mass, Radius
Pollux, 33.8, 1.9, 9.1
Arcturus, 36.7, 1.1, 25.4
Delta Capricorni Aa (Deneb Algedi), 38.7, 2.0, 1.9
Capella Aa, 42.9, 2.6, 12.0
Capella Ab, 0.0, 2.5, 2.5
Gamma Cephei A (Errai), 45.0, 1.3, 4.9
Beta Cassiopeiae (Caph), 54.7, 1.9, 3.7
Theta Centauri (Menkent), 58.8, 1.3, 10.6
Eta Serpentis, 60.5, 2.0, 5.9
Alpha Trianguli (Mothallah), 63.3, 1.7, 3.2
Rho Puppis (Tureis), 63.5, 1.9, 3.4
Epsilon Scorpii (Larawag), 63.7, 1.2, 12.6
Nu2 Canis Majoris, 64.4, 1.3, 4.9
Aldebaran, 65.3, 1.2, 45.1
Hamal, 65.8, 1.5, 14.9
Nu Octantis, 69.1, 1.6, 5.8
Alpha Serpentis (Unukalhai), 73.9, 1.7, 13.5
Epsilon Cygni (Aljanah), 75.5, 2.0, 10.8
Lambda Sagittarii (Kaus Borealis), 78.2, 2.6, 12.7
Beta Ophiuchi (Cebalrai), 81.8, 1.1, 12.4
Alioth, 82.5, 2.9, 4.1
Alpha Phoenicis (Ankaa), 85.0, 1.6, 15.0
Gamma Boötis Aa (Seginus), 86.8, 2.1, 5.2
Beta Columbae (Wazn), 87.2, 1.1, 11.5
Gacrux, 88.6, 1.5, 120.0
Beta Eridani (Cursa), 90.0, 2.0, 2.4
Kappa Ophiuchi, 91.5, 1.2, 11.0
Eta Draconis, 92.1, 2.6, 11.0
Chi Leonis, 94.6, 1.6, 2.0
46 Leonis Minoris (Praecipua), 94.9, 1.7, 8.2
Beta Ceti (Diphda), 96.3, 2.8, 16.8
Gamma2 Sagittarii (Alnasl), 96.8, 2.0, 12.0
Delta Draconis (Altais), 97.4, 2.3, 11.0
Alpha Indi, 98.3, 2.0, 12.0
54 Piscium, 36.1, 1.0, 1.0
81 Cancri, 66.0, 1.0, 1.0
AB Pictoris, 66.6, 13.5, 0.6
CD−33°7795, 163.1, 20.0, 0.8
CT Chamaeleontis, 538.0, 17.0, 2.2
Eta Coronae Borealis, 58.3, 63.0, 0.2
G 196-3, 50.2, 25.0, 0.7
GD 165, 103.0, 0.2, 0.2
Gliese 570, 19.0, 52.0, 0.4
GU Piscium, 155.3, 11.0, 0.2
HD 89744, 126.2, 0.5, 0.8
HD 100546, 337.3, 20.0, 0.6
HN Pegasi, 58.3, 28.0, 1.0
UScoCTIO 108, 473.0, 14.0, 0.5
WD 0137-349, 330.0, 53.0, 0.3
HD 41004 B, 139.0, 18.4, 0.1
CoRoT-15, 0.9, 63.4, 1.1
Xi Ursae Majoris B, 25.1, 37.0, 0.8
Upsilon Andromedae, 43.9, 14.0, 0.2
Gliese 758, 51.9, 23.0, 0.2
HD 112758, 53.8, 35.0, 0.3
BD−04°782, 66.6, 21.0, 0.4
HD 110833, 55.4, 17.0, 0.5
HD 89707, 81.5, 54.0, 0.7
Tau Geminorum, 302.0, 18.1, 0.3
HAT-P-13, 698.0, 15.2, 0.7
HD 217580, 58.7, 60.0, 0.1
HD 16760, 163.0, 14.3, 0.5
HD 13189, 603.4, 14.0, 0.3
HD 18445, 83.9, 39.0, 0.8
HD 8673, 124.8, 14.0, 0.5
NGC 4349-127, 7097.0, 19.8, 0.7
Gliese 569, 31.5, 116.0, 0.9
HD 29587, 146.8, 40.0, 1
ChaHα8, 522.0, 18.0, 0.1
CoRoT-20, 4000.0, 17.0, 0.9
HD 168443, 123.5, 34.0, 0.7
HD 38529 A, 138.0, 37.0, 0.3
Epsilon Indi, 11.8, 28.0, 0.33
HW Virginis, 590.0, 19.2, 2.0
DT Virginis, 37.6, 12.5, 1.1
HD 4113, 136.0, 60.0, 0.3
Gliese 229, 19.0, 40.0, 0.56
TYC 9486-927-1, 111.0, 13.3, 1.0
HD 131664, 180.8, 18.2, 0.3
HD 136118, 171.0, 42.0, 0.057
HD 140913, 156.4, 46.0, 0.05
GQ Lupi b, 400.0, 1.0, 2.0
HD 162020, 102.0, 15.0, 0.3
Nu Ophiuchi, 152.8, 21.9, 0.64
HD 164427, 127.5, 46.0, 0.7
SCR 1845-6357, 12.6, 40.0, 0.2
COROT-3, 2220.0, 21.7, 1.0
V921 Scorpii, 4833.0, 60.0, 0.4
